Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
Year,1,1,1,10,1,1,1,1,2,"6,321.38","44,249.67","40,27,441.89",7
Year,1,1,1,10,1,1,1,1,3,981.228,"13,737.19","10,07,721.16",1
Year,1,1,1,10,1,1,1,2,2,"2,372.31","16,606.20","12,97,227.13",3
Year,1,1,1,10,1,1,2,1,2,"3,814.91","23,103.26","22,92,626.56",3
Year,1,1,1,10,1,1,2,1,3,649.175,"9,088.45","9,73,762.50",1
Year,1,1,1,10,1,1,2,2,1,299.634,898.902,"1,24,048.48",1
Year,1,1,1,10,1,1,2,2,2,"9,612.22","60,771.13","45,25,939.84",8
Year,1,1,1,10,1,1,3,1,1,"4,095.76","10,608.98","16,80,124.21",4
Year,1,1,1,10,1,1,3,1,2,"15,967.80","1,07,395.29","1,12,43,976.58",14
Year,1,1,1,10,1,1,3,1,3,299.634,"7,490.85","59,926.80",1
Year,1,1,1,10,1,1,3,2,1,"2,336.29","5,321.76","6,90,537.70",2
Year,1,1,1,10,1,1,3,2,2,"8,315.40","55,683.27","63,94,768.26",8
Year,1,1,1,10,1,1,4,1,1,"5,483.13","16,449.39","71,11,199.66",3
Year,1,1,1,10,1,1,4,1,2,"5,843.17","36,562.50","43,42,709.12",5
Year,1,1,1,10,1,1,4,2,2,"6,126.03","38,648.21","49,06,166.31",8
Year,1,1,1,10,1,1,5,1,2,"22,689.09","1,24,429.25","1,74,47,240.35",19
Year,1,1,1,10,1,1,5,1,3,"2,567.64","52,124.45","1,12,30,099.20",2
Year,1,1,1,10,1,1,5,2,1,582.685,"1,748.06","3,49,611.00",1
Year,1,1,1,10,1,1,5,2,2,"16,257.69","1,06,016.74","95,42,900.04",15
Year,1,1,1,10,1,1,5,2,3,609.667,"8,535.34","12,62,010.69",1
Year,1,1,1,10,1,1,6,1,2,"6,111.18","41,242.26","50,62,179.96",8
Year,1,1,1,10,1,1,6,1,3,949.901,"13,298.61","10,42,991.30",1
Year,1,1,1,10,1,1,6,2,1,"1,055.45","3,166.34","3,16,633.80",1
Year,1,1,1,10,1,1,6,2,2,"3,935.61","23,287.98","35,90,056.05",6
Year,1,1,1,10,1,1,6,2,3,"1,054.09","18,446.54","9,36,557.19",2
Year,1,1,1,10,1,1,7,1,1,"1,486.41","4,459.22","5,42,775.70",2
Year,1,1,1,10,1,1,7,1,2,"3,023.22","24,352.12","14,06,623.72",4
Year,1,1,1,10,1,1,7,2,2,"2,766.56","12,381.55","11,49,348.87",2
Year,1,1,1,10,1,2,1,1,2,"2,766.45","19,365.12","28,39,098.91",4
Year,1,1,1,10,1,2,1,2,2,"2,039.19","14,274.34","22,22,580.76",2
Year,1,1,1,10,1,2,2,1,2,"4,688.52","33,985.01","31,99,292.55",6
Year,1,1,1,10,1,2,2,2,2,"2,069.47","14,486.26","22,86,680.47",3
Year,1,1,1,10,1,2,3,1,2,"6,088.55","41,409.07","51,64,618.49",8
Year,1,1,1,10,1,2,3,2,1,797.388,"2,392.16","3,94,707.06",1
Year,1,1,1,10,1,2,3,2,2,"9,642.00","64,119.77","76,93,299.18",7
Year,1,1,1,10,1,2,4,1,2,"11,000.67","87,114.08","91,34,454.41",12
Year,1,1,1,10,1,2,4,2,2,"10,778.16","72,929.08","99,51,249.75",9
Year,1,1,1,10,1,2,5,1,2,"12,743.09","87,362.39","1,17,89,076.64",12
Year,1,1,1,10,1,2,5,2,1,"1,912.10","3,824.20","4,03,453.52",1
Year,1,1,1,10,1,2,5,2,2,"8,501.69","63,537.20","83,90,570.06",11
Year,1,1,1,10,1,2,6,1,2,"12,543.61","86,855.40","1,29,26,117.96",14
Year,1,1,1,10,1,2,6,2,2,"8,698.67","60,890.72","1,25,05,416.15",10
Year,1,1,1,10,1,2,7,1,2,"1,646.24","12,050.69","12,57,804.40",3
Year,1,1,1,10,1,2,7,2,2,"3,804.02","26,628.11","35,01,391.63",4
Year,1,1,1,10,2,1,2,1,3,649.175,"9,088.45","6,49,175.00",1
Year,1,1,1,10,2,1,3,1,1,"1,438.62","4,016.24","9,76,977.75",3
